id,subject,tag,question,choice1,choice2,choice3,choice4,answer,explanation,core_id,source
1,1,폭포수 모형,"이전 단계로 돌아갈 수 없다는 전제하에 각 단계를 확실히 매듭짓고 다음 단계로 진행하는, 보헴이 제시한 고전적 생명주기 모형은?",폭포수 모형,나선형 모형,프로토타입 모형,애자일 모형,1,"폭포수 모형은 요구분석→설계→구현→시험→유지보수 순으로 순차 진행하며, 이전 단계로 돌아가기 어렵고 요구사항 반영이 어렵다는 단점이 있다.",1,concept
2,1,폭포수 모형,"이전 단계로 돌아갈 수 없다는 전제하에 각 단계를 확실히 매듭짓고 다음 단계로 진행하는, 보헴이 제시한 고전적 생명주기 모형은?",나선형 모형,프로토타입 모형,애자일 모형,폭포수 모형,4,"폭포수 모형은 요구분석→설계→구현→시험→유지보수 순으로 순차 진행하며, 이전 단계로 돌아가기 어렵고 요구사항 반영이 어렵다는 단점이 있다.",1,concept
3,1,폭포수 모형,"다음 중 이전 단계로 돌아갈 수 없다는 전제하에 각 단계를 확실히 매듭짓고 다음 단계로 진행하는, 보헴이 제시한 고전적 생명주기 모형은?",프로토타입 모형,애자일 모형,폭포수 모형,나선형 모형,3,"폭포수 모형은 요구분석→설계→구현→시험→유지보수 순으로 순차 진행하며, 이전 단계로 돌아가기 어렵고 요구사항 반영이 어렵다는 단점이 있다.",1,concept
4,1,폭포수 모형,"보기 중에서 이전 단계로 돌아갈 수 없다는 전제하에 각 단계를 확실히 매듭짓고 다음 단계로 진행하는, 보헴이 제시한 고전적 생명주기 모형은?",애자일 모형,프로토타입 모형,나선형 모형,폭포수 모형,4,"폭포수 모형은 요구분석→설계→구현→시험→유지보수 순으로 순차 진행하며, 이전 단계로 돌아가기 어렵고 요구사항 반영이 어렵다는 단점이 있다.",1,concept
5,1,나선형 모형,'계획수립→위험분석→개발및검증→고객평가' 과정을 반복적으로 수행하며 점진적으로 완벽한 소프트웨어를 개발하는 모형은?,폭포수 모형,나선형 모형,V 모형,코코모 모형,2,나선형 모형은 위험 분석 단계를 포함해 개발 단계를 나선을 그리듯 점진적으로 반복하는 모형이다.,2,concept
6,1,나선형 모형,'계획수립→위험분석→개발및검증→고객평가' 과정을 반복적으로 수행하며 점진적으로 완벽한 소프트웨어를 개발하는 모형은?,나선형 모형,V 모형,코코모 모형,폭포수 모형,1,나선형 모형은 위험 분석 단계를 포함해 개발 단계를 나선을 그리듯 점진적으로 반복하는 모형이다.,2,concept
7,1,나선형 모형,다음 중 '계획수립→위험분석→개발및검증→고객평가' 과정을 반복적으로 수행하며 점진적으로 완벽한 소프트웨어를 개발하는 모형은?,V 모형,코코모 모형,폭포수 모형,나선형 모형,4,나선형 모형은 위험 분석 단계를 포함해 개발 단계를 나선을 그리듯 점진적으로 반복하는 모형이다.,2,concept
8,1,나선형 모형,보기 중에서 '계획수립→위험분석→개발및검증→고객평가' 과정을 반복적으로 수행하며 점진적으로 완벽한 소프트웨어를 개발하는 모형은?,코코모 모형,V 모형,나선형 모형,폭포수 모형,3,나선형 모형은 위험 분석 단계를 포함해 개발 단계를 나선을 그리듯 점진적으로 반복하는 모형이다.,2,concept
9,1,애자일 방법론,다음 중 애자일(Agile) 소프트웨어 개발의 주요 방법론이 아닌 것은?,스크럼(Scrum),XP(eXtreme Programming),칸반(Kanban),CBD(Component Based Development),4,"애자일의 대표 방법론은 스크럼, XP, 기능중심개발(FDD), 칸반, Lean 등이며 CBD는 컴포넌트 기반 개발 방법론으로 애자일 계열이 아니다.",3,concept
10,1,애자일 방법론,다음 중 애자일(Agile) 소프트웨어 개발의 주요 방법론이 아닌 것은?,XP(eXtreme Programming),칸반(Kanban),CBD(Component Based Development),스크럼(Scrum),3,"애자일의 대표 방법론은 스크럼, XP, 기능중심개발(FDD), 칸반, Lean 등이며 CBD는 컴포넌트 기반 개발 방법론으로 애자일 계열이 아니다.",3,concept
